STOCK	TICKER	OPEN	LOW	HIGH	PRECLOSE	LTP
MRF Ltd.	MRF	79000	78510	79370	79375.55	78930.9
Bosch Ltd.	BOSCHLTD	15426.6	15218	15538	15474.5	15410
Shree Cement Ltd.	SHREECEM	28800.3	28581.85	29198	28901.55	29002
Nestle India Ltd.	NESTLEIND	19445	19252.05	19644.95	19445.55	19557
Page Industries Ltd.	PAGEIND	31690	31565.25	32789	31704.9	32253
Dr. Lal Path Labs Ltd.	LALPATHLAB	3677	3632.9	3720	3676.8	3720
Maruti Suzuki India Ltd.	MARUTI	7220	7090	7220	7338.05	7152
Divi's Laboratories Ltd.	DIVISLAB	4800	4780	4874	4798.7	4830
Reliance Industries Ltd.	RELIANCE	2501.95	2495	2539.8	2519.25	2525
Colgate Palmolive (India) Ltd.	COLPAL	1669.6	1656.5	1691.95	1669.5	1689.5
SRF Ltd.	SRF	11325	11000	11325	11279.1	11075.1
Alkem Laboratories Ltd.	ALKEM	3977	3940.05	4048.3	3980.75	3989.9
Jubilant Foodworks Ltd.	JUBLFOOD	4052.2	4012	4125	4040.9	4054
Siemens Ltd.	SIEMENS	2123	2110	2154.9	2129.4	2150
Procter & Gamble Hygiene & Health Care Ltd.	PGHH	14099	13911	14100	14073.8	14100
Tata Elxsi Ltd.	TATAELXSI	5594	5594	5824.6	5594.05	5804.85
Asian Paints Ltd.	ASIANPAINT	3248	3170	3252.95	3244.65	3180.95
Indiamart Intermesh Ltd.	INDIAMART	8394	8295	8470	8378.9	8299.95
Piramal Enterprises Ltd.	PEL	2574	2570	2665	2595.8	2654
Avenue Supermarts Ltd.	DMART	4250	4220.1	4284.2	4250.2	4242
MindTree Ltd.	MINDTREE	4199.85	4153.15	4242.55	4200.1	4189.8
Ipca Laboratories Ltd.	IPCALAB	2418.1	2390	2435	2411.35	2411.3
InterGlobe Aviation Ltd.	INDIGO	2010	1958.2	2030	2021.7	1974
Bajaj Auto Ltd.	BAJAJ-AUTO	3820	3802.65	3880.75	3832.65	3841
Titan Company Ltd.	TITAN	2157	2122.65	2175	2161.85	2160
Dr. Reddy's Laboratories Ltd.	DRREDDY	4853	4852.25	4970	4880.7	4940.95
L&T Technology Services Ltd.	LTTS	4684	4605	4692.1	4697.55	4621
Bajaj Finserv Ltd.	BAJAJFINSV	17736.05	17050	17736.05	17786.75	17215
Navin Fluorine International Ltd.	NAVINFLUOR	3660	3639.7	3736.55	3684.75	3716.95
Bombay Burmah Trading Corporation Ltd.	BBTC	1147	1140.05	1171.1	1147.75	1158
LIC Housing Finance Ltd.	LICHSGFIN	425	422	430.5	427.05	427.6
Torrent Pharmaceuticals Ltd.	TORNTPHARM	3075	3026.45	3114.7	3085.5	3077.2
Muthoot Finance Ltd.	MUTHOOTFIN	1455	1453.15	1542.95	1450.3	1530.65
Abbott India Ltd.	ABBOTINDIA	20499.5	20462	22569.55	20517.8	22569.55
Dalmia Bharat Ltd.	DALBHARAT	2099	2095.05	2167	2105.75	2122
Apollo Hospitals Enterprise Ltd.	APOLLOHOSP	4481.6	4435	4520	4481.6	4458.1
Britannia Industries Ltd.	BRITANNIA	3958.8	3885	3958.8	3948.95	3910
Pidilite Industries Ltd.	PIDILITIND	2384	2365.2	2422	2381.95	2422
Oberoi Realty Ltd.	OBEROIRLTY	960	908.85	989.5	964.2	913
Bajaj Finance Ltd.	BAJFINANCE	7620	7475	7639.2	7668.1	7525
Eicher Motors Ltd.	EICHERMOT	2787	2752.2	2794.1	2790.2	2770.05
HDFC Asset Management Company Ltd.	HDFCAMC	2898.5	2881.1	2948.65	2908.6	2932
Hero MotoCorp Ltd.	HEROMOTOCO	2827.2	2802.25	2851	2832.5	2845.4
Container Corporation of India Ltd.	CONCOR	706.3	692.15	710.6	704.3	702
Polycab India Ltd.	POLYCAB	2387	2332	2387	2389	2345
Godrej Properties Ltd.	GODREJPROP	2312	2205	2340	2311.9	2228.95
Nippon Life India Asset Management Ltd.	NAM-INDIA	424.9	422.25	445.8	425.35	439.4
Grasim Industries Ltd.	GRASIM	1659.95	1635.5	1687.65	1669.45	1670
Adani Total Gas Ltd.	ATGL	1425	1400.05	1433.1	1423.15	1424
Coforge Ltd.	COFORGE	5209	5175.05	5325	5241.3	5277
Aarti Industries Ltd.	AARTIIND	925	917.45	949.8	929.85	941
UltraTech Cement Ltd.	ULTRACEMCO	7396.1	7356.2	7502	7396.1	7495
Whirlpool of India Ltd.	WHIRLPOOL	2280	2260.05	2305	2284.95	2288
Tata Consultancy Services Ltd.	TCS	3781.75	3725	3810	3775.55	3728.65
Havells India Ltd.	HAVELLS	1373.1	1334.25	1382.7	1373.1	1359.7
Dixon Technologies (India) Ltd.	DIXON	4579.75	4545.6	4900	4611.9	4899.95
ICICI Securities Ltd.	ISEC	754.9	750	770	758.35	763
Trent Ltd.	TRENT	1025.85	1020	1090	1025.85	1039.95
Deepak Nitrite Ltd.	DEEPAKNTR	2399	2356	2405	2406.55	2383.05
Lupin Ltd.	LUPIN	946	943	968	951.6	967
Godrej Consumer Products Ltd.	GODREJCP	1029.2	1006.15	1042.95	1029.9	1016.1
ACC	ACC	2237	2211.35	2258	2254.5	2237.7
MphasiS Ltd.	MPHASIS	3109	3010	3119	3104.4	3028
ICICI Bank Ltd.	ICICIBANK	693	687.9	694.85	700.85	692.4
Balkrishna Industries Ltd.	BALKRISIND	2533.65	2501.15	2553	2533.65	2538
Hindustan Unilever Ltd.	HINDUNILVR	2706	2680.1	2712	2701.8	2702
Sanofi India Ltd.	SANOFI	7821.6	7778.8	7988	7799.8	7845
Tata Steel Ltd.	TATASTEEL	1275	1265	1311	1288.9	1294.05
Kotak Mahindra Bank Ltd.	KOTAKBANK	1997	1971.9	2010.8	2005.5	1990.05
Adani Transmission Ltd.	ADANITRANS	1558.5	1525	1590.1	1558.5	1566.75
Jindal Steel & Power Ltd.	JINDALSTEL	386.65	379.6	409.5	389.25	402
JSW Steel Ltd.	JSWSTEEL	660	658.9	686.7	668.3	673.95
Berger Paints India Ltd.	BERGEPAINT	811.3	798.2	812.4	809	811
Indraprastha Gas Ltd.	IGL	535	525.55	537	533.1	528.95
Alembic Pharmaceuticals Ltd.	APLLTD	785	783	794	789.1	787.5
CESC Ltd.	CESC	91.5	88.5	92.4	91.55	91.6
UPL Ltd.	UPL	707	698.25	714.05	707.7	711.9
Bata India Ltd.	BATAINDIA	1778	1762.5	1852.95	1778.15	1841
PI Industries Ltd.	PIIND	3170	3091	3179.25	3178.35	3100
Indiabulls Housing Finance Ltd.	IBULHSGFIN	230.95	227.5	235.45	231.65	234.75
HDFC Bank Ltd.	HDFCBANK	1583	1565.25	1589	1594.95	1585.65
The Ramco Cements Ltd.	RAMCOCEM	984.75	976.75	999	984.65	988.05
Indian Railway Catering And Tourism Corporation Ltd.	IRCTC	3777	3733.15	3821	3798.5	3794
Info Edge (India) Ltd.	NAUKRI	6445	6400	6524	6431.4	6429
United Spirits Ltd.	MCDOWELL-N	855	840.1	869.45	853.1	864
Housing Development Finance Corporation Ltd.	HDFC	2738.6	2693.6	2752	2754.3	2710
Glenmark Pharmaceuticals Ltd.	GLENMARK	508.9	505.95	514	510.45	512.5
Axis Bank Ltd.	AXISBANK	763.4	754	771.7	766.55	767.8
NATCO Pharma Ltd.	NATCOPHARM	895.9	883.3	918	891.55	903
Bharti Airtel Ltd.	BHARTIARTL	687.35	667.65	687.35	688.3	675.8
Voltas Ltd.	VOLTAS	1217.75	1199.95	1220.6	1218.05	1213.75
Escorts Ltd.	ESCORTS	1463	1427	1478.45	1480.1	1471.95
Torrent Power Ltd.	TORNTPOWER	504	490.2	507.9	505.05	499
Godrej Industries Ltd.	GODREJIND	578.9	564	579	579.15	564.85
Dabur India Ltd.	DABUR	617	609	620.2	617.05	618.65
Tech Mahindra Ltd.	TECHM	1375	1364.8	1384	1380.6	1368.9
Bharat Forge Ltd.	BHARATFORG	737	721	741.25	737.45	726.6
Gujarat Gas Ltd.	GUJGASLTD	640.5	610.55	643.85	637.45	614.7
Max Financial Services Ltd.	MFSL	1017.15	993.75	1024.45	1014.3	1016.45
Bandhan Bank Ltd.	BANDHANBNK	281.8	279.2	289.75	283	288.45
Syngene International Ltd.	SYNGENE	600	599.05	618.8	599.9	615.6
SBI Cards and Payment Services Ltd.	SBICARD	1025.5	1023.75	1048	1029.6	1046.05
Ajanta Pharmaceuticals Ltd.	AJANTPHARM	2291	2240	2299	2278.1	2245
Coromandel International Ltd.	COROMANDEL	790.8	788.1	802	794.45	801.8
ICICI Prudential Life Insurance Company Ltd.	ICICIPRULI	673.75	658	673.75	671.85	667.4
Marico Ltd.	MARICO	545	541.05	552.75	547.5	551.65
SBI Life Insurance Company Ltd.	SBILIFE	1204	1199.4	1217.55	1215.1	1210
Biocon Ltd.	BIOCON	362	358.25	367.6	362.7	365.6
City Union Bank Ltd.	CUB	157.5	155.7	160.05	157.65	158.8
Mahanagar Gas Ltd.	MGL	1082	1070	1109	1082.65	1092
Manappuram Finance Ltd.	MANAPPURAM	170	169.4	180.5	169.15	180.1
IndusInd Bank Ltd.	INDUSINDBK	1104	1091.3	1112	1111.9	1103.05
HCL Technologies Ltd.	HCLTECH	1274	1260.65	1284	1279.55	1273
Cummins India Ltd.	CUMMINSIND	987.8	878.15	987.8	991.95	915
State Bank of India	SBIN	448.5	443.8	455.55	453	452
Cholamandalam Investment and Finance Company Ltd.	CHOLAFIN	564	556	568	564.25	557.45
Pfizer Ltd.	PFIZER	5581.1	5504	5609	5581.1	5578.9
TVS Motor Company Ltd.	TVSMOTOR	550.9	544.95	569.75	549.45	567.5
Adani Enterprises Ltd.	ADANIENT	1465	1422.65	1468.75	1468.1	1455
Dhani Services Ltd.	DHANI	183.15	180.5	184	183.3	181
DLF Ltd.	DLF	419	411.15	422.85	417.2	416.3
Steel Authority of India Ltd.	SAIL	112.95	110.8	115.85	113.65	114.95
Vedanta Ltd.	VEDL	285.8	283.15	290.3	287.65	285.3
Sun Pharmaceutical Industries Ltd.	SUNPHARMA	812	805.3	830.7	818.25	825
GAIL (India) Ltd.	GAIL	160.2	157.55	166.2	158.85	162.5
Hindalco Industries Ltd.	HINDALCO	483.1	473.45	486	487.95	484.4
Aditya Birla Fashion and Retail Ltd.	ABFRL	242.55	241.15	251	246.35	243.3
Cipla Ltd.	CIPLA	980	973.1	991.9	983.55	984.05
United Breweries Ltd.	UBL	1570	1558.2	1583.9	1571.5	1573
Hindustan Zinc Ltd.	HINDZINC	311.5	305.4	314.5	311.6	306.65
Indus Towers Ltd.	INDUSTOWER	311	302.65	317.5	308.7	315.9
Aurobindo Pharma Ltd.	AUROPHARMA	721.9	706.5	724.35	724.8	714.6
Amara Raja Batteries Ltd.	AMARAJABAT	745	742	769.95	749.8	765.45
ITC Ltd.	ITC	235.2	232.9	237	236.15	235.25
Laurus Labs Ltd.	LAURUSLABS	618.8	611.35	622	616.45	617.3
ICICI Lombard General Insurance Company Ltd.	ICICIGI	1589	1561.3	1628	1589.5	1589
Indian Hotels Co. Ltd.	INDHOTEL	179.9	178.35	186.7	181.4	184.25
Larsen & Toubro Ltd.	LT	1697.5	1687.5	1712.5	1702.95	1695.5
JSW Energy Ltd.	JSWENERGY	392	378.1	398.45	389.9	384.45
Sun TV Network Ltd.	SUNTV	502	498	529.6	505.35	521.65
Tata Chemicals Ltd.	TATACHEM	916.7	907.2	928.45	919.3	910.4
Crompton Greaves Consumer Electricals Ltd.	CROMPTON	477.4	476.15	503	478.9	489
NMDC Ltd.	NMDC	142.3	140.95	145.4	143	143.8
Castrol India Ltd.	CASTROLIND	140.45	138.75	142.25	140.2	140
Petronet LNG Ltd.	PETRONET	236	234.35	238.95	238.55	235
Wipro Ltd.	WIPRO	634.8	630.2	639.75	634.1	636
Ambuja Cements Ltd.	AMBUJACEM	399.9	396	404.8	400.2	403
Canara Bank	CANBK	172.4	168	178.95	173	176.8
NTPC Ltd.	NTPC	140.95	137.7	144.35	141.85	139.8
Motherson Sumi Systems Ltd.	MOTHERSUMI	224.5	221.2	226.4	225.95	224.4
Prestige Estates Projects Ltd.	PRESTIGE	487.9	473.65	489	490.85	481.7
Oil & Natural Gas Corporation Ltd.	ONGC	145.2	144.1	149.65	144.5	146.15
Mahindra & Mahindra Financial Services Ltd.	M&MFIN	183.95	182.05	187.4	185.2	186
AU Small Finance Bank	AUBANK	1160	1120	1188	1164.25	1182
Tata Power Co. Ltd.	TATAPOWER	158.75	156.6	164.95	158.75	163.5
Exide Industries Ltd.	EXIDEIND	177.8	177.2	179.65	178.25	178.75
Hindustan Aeronautics Ltd.	HAL	1353.3	1326.65	1367.45	1354.45	1336.6
Punjab National Bank	PNB	39.95	39.35	41.2	40.1	40.65
Ashok Leyland Ltd.	ASHOKLEY	133.95	129.7	134.5	133.8	130.8
Bajaj Holdings & Investment Ltd.	BAJAJHLDNG	4784.2	4710	4899.95	4808.6	4760
Power Finance Corporation Ltd.	PFC	141.9	138.2	142.1	142.1	139.85
Bharat Electronics Ltd.	BEL	200	199.15	204.25	202.95	201.3
Federal Bank Ltd.	FEDERALBNK	83.95	82.7	84.3	84.3	83.25
Bank of Baroda	BANKBARODA	81.45	80	83.5	81.75	82.4
Indian Oil Corporation Ltd.	IOC	125.65	125	128.85	125.3	127.05
Power Grid Corporation of India Ltd.	POWERGRID	190.8	189.65	193.5	189.9	191.35
Bharat Heavy Electricals Ltd.	BHEL	64.3	63.6	66.3	64.65	65.3
Aditya Birla Capital Ltd.	ABCAPITAL	112.2	110.9	112.65	112.75	112.45
Oil India Ltd.	OIL	261	247.95	267.8	260.2	248.5
Gujarat State Petronet Ltd.	GSPL	316	312.1	321.5	316	314
L&T Finance Holdings Ltd.	L&TFH	89.95	88.5	90.35	90.95	89.5
RBL Bank Ltd.	RBLBANK	188.05	187.55	197.6	190.9	193.1
Union Bank of India	UNIONBANK	36	35.7	36.9	36.25	36.6
GMR Infrastructure Ltd.	GMRINFRA	38.3	37.5	41.65	38.35	40.75
Yes Bank Ltd.	YESBANK	12.5	12.4	13.4	12.55	12.85
Bank of India	BANKINDIA	55.4	54.7	56.8	55.5	56.65
Godrej Agrovet Ltd.	GODREJAGRO	636	628	643.95	640	631
Vodafone Idea Ltd.	IDEA	11.65	11.35	11.75	11.9	11.4
Tata Motors Ltd.	TATAMOTORS	332.65	325.7	337.3	333.35	332.9
IDFC First Bank Ltd.	IDFCFIRSTB	47.2	46.55	47.65	47.65	47.3
Mahindra & Mahindra Ltd.	M&M	800	787	831	803.05	827
Coal India Ltd.	COALINDIA	185.4	182.4	189.9	185.1	188.8
V-Guard Industries Ltd.	VGUARD	255.15	255.15	262	257.95	259.9
REC Ltd.	RECLTD	157.9	153.5	158.15	157.85	155.9
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS	735.85	722	738.25	737.9	734.35
Bharat Petroleum Corporation Ltd.	BPCL	431.9	429	437.6	432.2	432.6
Fortis Healthcare Ltd.	FORTIS	262	260.7	266.85	263.5	265.05
Infosys Ltd.	INFY	1665.1	1661.25	1678.95	1675.2	1665.6
Cadila Healthcare Ltd.	CADILAHC	552	544.25	559.95	551.85	556.85
Apollo Tyres Ltd.	APOLLOTYRE	224.5	222.5	226.65	225.7	223.95
Tata Consumer Products Ltd.	TATACONSUM	812.9	796	820	813.6	801.25
Hindustan Petroleum Corporation Ltd.	HINDPETRO	299.6	297	306	300	298.9
HDFC Life Insurance Company Ltd.	HDFCLIFE	720	714.3	730.5	722.4	728.5
Shriram Transport Finance Co. Ltd.	SRTRANSFIN	1293.85	1273.3	1299.55	1298.85	1291.95
Adani Green Energy Ltd.	ADANIGREEN	1147.95	1146.6	1189.9	1146.6	1147.5
Emami Ltd.	EMAMILTD	569.9	568.65	579.5	574	569.9
Larsen & Toubro Infotech Ltd.	LTI	5758	5680	5800	5765.15	5758
Varun Beverages Ltd.	VBL	900.15	883.5	916	897.6	906
Endurance Technologies Ltd.	ENDURANCE	1578.6	1550.05	1589.75	1584.45	1565
